id,lon,lat,dir,speed,lasttime,rid,rnum,rtype,low_floor,wifi
1798,152946401.5,82170108.4,45,11,17.03.2025 06:56:16,2,1,Тр,0,0
6904,153028775.5,82153060.4,154,0,17.03.2025 06:55:57,2,1,Тр,0,0
2305,152949227.5,82143618.8,339,12,17.03.2025 06:56:17,2,1,Тр,0,0
1798,152946401.5,82170108.4,45,11,17.03.2025 06:56:16,2,1,Тр,0,0
6904,153029783.5,82151210.8,158,0,17.03.2025 06:56:29,2,1,Тр,0,0
2305,152949227.5,82143618.8,339,12,17.03.2025 06:56:17,2,1,Тр,0,0
1798,152948117.5,82170804.4,408,19,17.03.2025 06:56:36,2,1,Тр,0,0
6904,153029783.5,82151210.8,158,0,17.03.2025 06:56:29,2,1,Тр,0,0
2305,152949227.5,82143618.8,339,12,17.03.2025 06:56:17,2,1,Тр,0,0
1798,152950087,82172030,401,14,17.03.2025 06:57:01,2,1,Тр,0,0
6904,153029783.5,82151223.6,158,0,17.03.2025 06:56:44,2,1,Тр,0,0
2305,152947099,82147964.4,327,7,17.03.2025 06:57:07,2,1,Тр,0,0
1798,152950087,82172030,40,14,17.03.2025 06:57:01,2,1,Тр,0,0
6904,153029783.5,82151223.6,158,0,17.03.2025 06:56:44,2,1,Тр,0,0
2305,152947054,82148012.4,327,0,17.03.2025 06:57:18,2,1,Тр,0,0
6906,152950303,82142257.2,88,16,17.03.2025 06:57:41,2,1,Тр,0,0
1798,152951563,82173690.8,348,9,17.03.2025 06:57:41,2,1,Тр,0,0
6904,153030859,82149038,169,15,17.03.2025 06:57:24,2,1,Тр,0,0
2305,152947054,82148012.4,327,0,17.03.2025 06:57:18,2,1,Тр,0,0
6906,152949686.5,82143070,305,16,17.03.2025 06:58:08,2,1,Тр,0,0
1798,152951356,82173935.6,348,0,17.03.2025 06:58:02,2,1,Тр,0,0
6904,153032083,82146878,163,13,17.03.2025 06:57:58,2,1,Тр,0,0
2305,152944639,82152622,342,23,17.03.2025 06:58:18,2,1,Тр,0,0
6906,152946745,82148038,340,0,17.03.2025 10:23:52,2,1,Тр,0,0
2719,152946481,82170082.8,57,14,17.03.2025 10:24:31,2,1,Тр,0,0
2535,152976076,82176718,126,12,17.03.2025 10:23:56,2,1,Тр,0,0
6906,152946745,82148038,340,0,17.03.2025 10:23:52,2,1,Тр,0,0
2719,152946481,82170082.8,57,14,17.03.2025 10:24:31,2,1,Тр,0,0
2535,152977391.5,82175961.2,147,10,17.03.2025 10:24:21,2,1,Тр,0,0
6906,152946745,82148038,340,0,17.03.2025 10:23:52,2,1,Тр,0,0
2719,152948690.5,82171134,401,14,17.03.2025 10:24:58,2,1,Тр,0,0
2535,152977391.5,82175961.2,144,10,17.03.2025 10:24:21,2,1,Тр,0,0
6906,152946745,82148038,340,0,17.03.2025 10:23:52,2,1,Тр,0,0
2719,152951116,82172946.8,351,13,17.03.2025 10:25:36,2,1,Тр,0,0
2535,152977712.5,82175681.2,134,3,17.03.2025 10:25:07,2,1,Тр,0,0
6906,152943952,82153543.6,342,0,17.03.2025 10:25:35,2,1,Тр,0,0
2719,152951437,82173257.2,27,10,17.03.2025 10:25:43,2,1,Тр,0,0
2535,152977712.5,82175681.2,134,3,17.03.2025 10:25:07,2,1,Тр,0,0
6906,152943952,82153543.6,337,0,17.03.2025 10:25:35,2,1,Тр,0,0
2719,152951356,82173842.8,348,7,17.03.2025 10:25:58,2,1,Тр,0,0
2535,152978558.5,82174978.8,151,18,17.03.2025 10:25:24,2,1,Тр,0,0
6906,152943952,82153543.6,337,0,17.03.2025 10:25:35,2,1,Тр,0,0
2719,152951356,82173842.8,342,7,17.03.2025 10:25:58,2,1,Тр,0,0
2535,152980607.5,82172964.4,101,11,17.03.2025 10:26:06,2,1,Тр,0,0
6906,152943952,82153543.6,337,0,17.03.2025 10:25:35,2,1,Тр,0,0
2719,152951356,82173842.8,342,7,17.03.2025 10:25:58,2,1,Тр,0,0
2535,152980607.5,82172964.4,130,11,17.03.2025 10:26:06,2,1,Тр,0,0
6906,152943952,82153543.6,337,0,17.03.2025 10:25:35,2,1,Тр,0,0
2719,152951230,82174063.6,342,0,17.03.2025 10:26:54,2,1,Тр,0,0
2535,152981111.5,82172847.6,429,8,17.03.2025 10:26:15,2,1,Тр,0,0
6906,152943952,82153543.6,337,0,17.03.2025 10:25:35,2,1,Тр,0,0
2719,152951230,82174063.6,342,0,17.03.2025 10:27:05,2,1,Тр,0,0
2535,152982221.5,82173202.8,59,11,17.03.2025 10:27:10,2,1,Тр,0,0
6906,152943952,82153543.6,337,0,17.03.2025 10:25:35,2,1,Тр,0,0
2719,152951230,82174063.6,342,0,17.03.2025 10:27:05,2,1,Тр,0,0
2535,152983148.5,82173348.4,156,7,17.03.2025 10:27:24,2,1,Тр,0,0
863051062711097,152961644.5,82254337.2,217,6,17.03.2025 10:27:48,215,6,А,1,0
863051062812077,152947141,82160359.6,341,31,17.03.2025 10:28:33,236,54,А,1,0
863051062756712,152809849,82288286,117,27,17.03.2025 10:28:24,217,42,А,1,0
863051064818254,152974805.5,82184047.6,235,3,17.03.2025 10:28:06,213,67,А,1,0
866795039906241,152975824,82184335.6,13,8,17.03.2025 10:27:47,27,14,А,1,0
819,153053495.5,82158559.6,215,16,17.03.2025 10:27:58,3,2,Тр,0,0
866795039969215,153022412.5,82155862,343,16,17.03.2025 10:27:54,208,34,А,1,0
866795037521588,152996561.5,82188527.6,284,0,17.03.2025 10:28:10,62,8,А,1,0
751,153045382,82157039.6,162,0,17.03.2025 10:27:40,5,3,Тр,0,0
1809,153045083.5,82189364.4,386,12,17.03.2025 10:28:36,9,4,Тр,0,0
1668,153025480,82150009.2,339,15,17.03.2025 10:28:12,6,3,Т,0,0
5326,152868410.5,82143399.6,186,5,17.03.2025 10:28:29,15,10,Т,1,0
862531042130907,153169561,82220518,233,11,17.03.2025 10:28:04,419,44,А,0,0
863051062943633,152827760.5,82282058.8,295,0,17.03.2025 10:28:27,240,37,А,1,0
866795037592399,152874865,82276974,169,17,17.03.2025 10:28:12,77,26,А,1,0
5867,153047167,82153170.8,165,16,17.03.2025 10:28:30,12,6,Тр,0,0
828,152979268,82174562.8,328,22,17.03.2025 10:28:04,1,1,Тр,0,0
863051063274152,152997521.5,82191305.2,200,0,17.03.2025 10:28:09,213,67,А,1,0
861694033745900,153021016,82158538.8,341,4,17.03.2025 10:28:31,344,2,А,0,0
868204004621818,153007556.5,82178442.8,398,21,17.03.2025 10:28:19,212,67,А,1,0
821,153058565.5,82191201.2,267,0,17.03.2025 10:28:27,8,4,Тр,0,0
312,152997991,82191830,294,0,17.03.2025 10:27:05,6,3,Т,1,0
409,153025858,82149532.4,326,11,17.03.2025 10:27:49,12,7,Т,0,0
294,153015740.5,82181185.2,213,0,17.03.2025 10:28:01,8,4,Тр,0,0
825,153008314,82173538.8,306,1,17.03.2025 10:27:52,5,3,Тр,0,0
5315,152957914,82125106.8,163,3,17.03.2025 10:28:23,20,1,Т,1,0
866854053037589,152998441,82192286,378,6,17.03.2025 10:28:36,354,52,А,0,0
6906,152941057,82161538.8,74,7,17.03.2025 10:28:28,2,1,Тр,0,0
863051063100076,152916383.5,82231447.6,350,0,17.03.2025 10:27:55,240,37,А,1,0
5328,153000040,82068350,111,22,17.03.2025 10:27:58,13,10к,Т,1,0
863051062953301,152892533.5,82280252.4,313,0,17.03.2025 10:28:15,82,28р,А,1,0
868204006885445,153019294,82084106.8,0,17,17.03.2025 10:28:31,343,2,А,0,0
868184066406607,152941880.5,82123202.8,112,23,17.03.2025 10:28:00,212,67,А,1,0
868184067963028,152934751,82185762.8,243,11,17.03.2025 10:28:18,217,42,А,1,0
866192039549751,153020558.5,82158626.8,162,5,17.03.2025 10:27:48,343,2,А,0,0
868184066492813,153012410.5,82222866.8,3,26,17.03.2025 10:28:17,62,8,А,1,0
877,153040105,82146377.2,65,15,17.03.2025 10:28:09,7,5,Тр,0,0
863051062756514,152885255.5,82303513.2,198,19,17.03.2025 10:28:09,81,28р,А,1,0
862531042815812,153010648,82074350,186,20,17.03.2025 10:28:10,220,55,А,1,0
868184060830430,153066373,82169966,269,0,17.03.2025 10:27:55,218,43,А,1,0
863051063288715,152871637,82253591.6,137,40,17.03.2025 10:28:20,241,37,А,1,0
869286035172720,152993936.5,82163166,129,30,17.03.2025 10:28:30,343,2,А,0,0
